32,5.4,Peshawar Zalmi,DJ Malan,Kamran Akmal,Mohammad Irfan,0.0,0.0,0.0,Dubai International Cricket Stadium,50.0,Islamabad United,190.0
33,5.5,Peshawar Zalmi,DJ Malan,Kamran Akmal,Mohammad Irfan,1.0,0.0,0.0,Dubai International Cricket Stadium,51.0,Islamabad United,190.0
34,5.6,Peshawar Zalmi,Kamran Akmal,DJ Malan,Mohammad Irfan,1.0,0.0,0.0,Dubai International Cricket Stadium,52.0,Islamabad United,190.0
35,6.1,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,4.0,0.0,0.0,Dubai International Cricket Stadium,56.0,Islamabad United,190.0
36,6.2,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,6.0,0.0,0.0,Dubai International Cricket Stadium,62.0,Islamabad United,190.0
37,6.3,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,0.0,0.0,0.0,Dubai International Cricket Stadium,62.0,Islamabad United,190.0
38,6.4,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,1.0,0.0,0.0,Dubai International Cricket Stadium,63.0,Islamabad United,190.0
39,6.5,Peshawar Zalmi,DJ Malan,Kamran Akmal,Saeed Ajmal,1.0,0.0,0.0,Dubai International Cricket Stadium,64.0,Islamabad United,190.0
40,6.6,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,1.0,0.0,0.0,Dubai International Cricket Stadium,65.0,Islamabad United,190.0
41,7.1,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,0.0,0.0,0.0,Dubai International Cricket Stadium,65.0,Islamabad United,190.0
42,7.2,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,1.0,0.0,0.0,Dubai International Cricket Stadium,66.0,Islamabad United,190.0
43,7.3,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,1.0,0.0,0.0,Dubai International Cricket Stadium,67.0,Islamabad United,190.0
44,7.4,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,6.0,0.0,0.0,Dubai International Cricket Stadium,73.0,Islamabad United,190.0
45,7.5,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,1.0,0.0,0.0,Dubai International Cricket Stadium,74.0,Islamabad United,190.0
46,7.6,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,0.0,0.0,0.0,Dubai International Cricket Stadium,74.0,Islamabad United,190.0
47,8.1,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,1.0,0.0,0.0,Dubai International Cricket Stadium,75.0,Islamabad United,190.0
48,8.2,Peshawar Zalmi,DJ Malan,Kamran Akmal,Saeed Ajmal,0.0,0.0,0.0,Dubai International Cricket Stadium,75.0,Islamabad United,190.0
49,8.3,Peshawar Zalmi,DJ Malan,Kamran Akmal,Saeed Ajmal,6.0,0.0,0.0,Dubai International Cricket Stadium,81.0,Islamabad United,190.0
50,8.4,Peshawar Zalmi,DJ Malan,Kamran Akmal,Saeed Ajmal,1.0,0.0,0.0,Dubai International Cricket Stadium,82.0,Islamabad United,190.0
51,8.5,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,0.0,0.0,0.0,Dubai International Cricket Stadium,82.0,Islamabad United,190.0
52,8.6,Peshawar Zalmi,Kamran Akmal,DJ Malan,Saeed Ajmal,6.0,0.0,0.0,Dubai International Cricket Stadium,88.0,Islamabad United,190.0
53,9.1,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,1.0,0.0,0.0,Dubai International Cricket Stadium,89.0,Islamabad United,190.0
54,9.2,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,1.0,0.0,0.0,Dubai International Cricket Stadium,90.0,Islamabad United,190.0
55,9.3,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,4.0,0.0,0.0,Dubai International Cricket Stadium,94.0,Islamabad United,190.0
56,9.4,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,6.0,0.0,0.0,Dubai International Cricket Stadium,100.0,Islamabad United,190.0
57,9.5,Peshawar Zalmi,DJ Malan,Kamran Akmal,Imran Khalid,1.0,0.0,0.0,Dubai International Cricket Stadium,101.0,Islamabad United,190.0
58,9.6,Peshawar Zalmi,Kamran Akmal,DJ Malan,Imran Khalid,1.0,0.0,0.0,Dubai International Cricket Stadium,102.0,Islamabad United,190.0
59,10.1,Peshawar Zalmi,Kamran Akmal,DJ Malan,Amad Butt,6.0,0.0,0.0,Dubai International Cricket Stadium,108.0,Islamabad United,190.0
60,10.2,Peshawar Zalmi,Kamran Akmal,DJ Malan,Amad Butt,2.0,0.0,0.0,Dubai International Cricket Stadium,110.0,Islamabad United,190.0
61,10.3,Peshawar Zalmi,Kamran Akmal,DJ Malan,Amad Butt,1.0,0.0,0.0,Dubai International Cricket Stadium,111.0,Islamabad United,190.0
62,10.4,Peshawar Zalmi,DJ Malan,Kamran Akmal,Amad Butt,4.0,0.0,0.0,Dubai International Cricket Stadium,115.0,Islamabad United,190.0
63,10.5,Peshawar Zalmi,DJ Malan,Kamran Akmal,Amad Butt,1.0,0.0,0.0,Dubai International Cricket Stadium,116.0,Islamabad United,190.0
64,10.6,Peshawar Zalmi,Kamran Akmal,DJ Malan,Amad Butt,4.0,0.0,0.0,Dubai International Cricket Stadium,120.0,Islamabad United,190.0
65,11.1,Peshawar Zalmi,DJ Malan,Kamran Akmal,SR Watson,2.0,0.0,0.0,Dubai International Cricket Stadium,122.0,Islamabad United,190.0
66,11.2,Peshawar Zalmi,DJ Malan,Kamran Akmal,SR Watson,0.0,0.0,0.0,Dubai International Cricket Stadium,122.0,Islamabad United,190.0
67,11.3,Peshawar Zalmi,DJ Malan,Kamran Akmal,SR Watson,0.0,0.0,1.0,Dubai International Cricket Stadium,122.0,Islamabad United,190.0
68,11.4,Peshawar Zalmi,Kamran Akmal,EJG Morgan,SR Watson,1.0,0.0,1.0,Dubai International Cricket Stadium,123.0,Islamabad United,190.0
69,11.5,Peshawar Zalmi,EJG Morgan,Kamran Akmal,SR Watson,1.0,0.0,1.0,Dubai International Cricket Stadium,124.0,Islamabad United,190.0
70,11.6,Peshawar Zalmi,Kamran Akmal,EJG Morgan,SR Watson,1.0,0.0,1.0,Dubai International Cricket Stadium,125.0,Islamabad United,190.0
71,12.1,Peshawar Zalmi,Kamran Akmal,EJG Morgan,Saeed Ajmal,1.0,0.0,1.0,Dubai International Cricket Stadium,126.0,Islamabad United,190.0
72,12.2,Peshawar Zalmi,EJG Morgan,Kamran Akmal,Saeed Ajmal,0.0,0.0,1.0,Dubai International Cricket Stadium,126.0,Islamabad United,190.0
73,12.3,Peshawar Zalmi,EJG Morgan,Kamran Akmal,Saeed Ajmal,0.0,0.0,2.0,Dubai International Cricket Stadium,126.0,Islamabad United,190.0
74,12.4,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Saeed Ajmal,1.0,0.0,2.0,Dubai International Cricket Stadium,127.0,Islamabad United,190.0
75,12.5,Peshawar Zalmi,Kamran Akmal,Haris Sohail,Saeed Ajmal,1.0,0.0,2.0,Dubai International Cricket Stadium,128.0,Islamabad United,190.0
76,12.6,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Saeed Ajmal,1.0,0.0,2.0,Dubai International Cricket Stadium,129.0,Islamabad United,190.0
77,13.1,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Amad Butt,1.0,0.0,2.0,Dubai International Cricket Stadium,130.0,Islamabad United,190.0
78,13.2,Peshawar Zalmi,Kamran Akmal,Haris Sohail,Amad Butt,1.0,0.0,2.0,Dubai International Cricket Stadium,131.0,Islamabad United,190.0
79,13.3,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Amad Butt,2.0,0.0,2.0,Dubai International Cricket Stadium,133.0,Islamabad United,190.0
80,13.4,Peshawar Zalmi,Haris Sohail,Kamran Akmal,Amad Butt,0.0,0.0,2.0,Dubai International Cricket Stadium,133.0,Islamabad United,190.0
